Monnaie,Cours,1h,24h,7j,Volume sur 24h,Capitalisation du marché
PROXI DeFi CREDIT CREDIT,"$0,068783864346",1.8%,-2.1%,-3.1%,$100 438,?
SPACE-iZ SPIZ SPIZ,"$0,001839265447",1.1%,-4.6%,-2.0%,"$61,20",?
CAT.trade Protocol CATX CATX,"$0,021234120580",?,?,?,?,?
ORYX ORYX ORYX,"$0,004443364653",?,?,?,?,?
YFIEXCHANGE.FINANCE YFIE YFIE,"$1,14",-2.7%,-0.1%,-3.2%,"$2 485,95",?
Pollux Coin POX POX,"$0,041300006448",,-27.4%,-71.4%,"$151,36",?
Libfx LIBFX LIBFX,"$0,010087714088",0.5%,0.2%,-38.0%,"$227,03",?
Algory ALG ALG,"$0,182638",0.2%,-0.9%,-0.1%,"$1 711,76",?
DEONEX Token DON DON,"$0,633571",5.5%,-1.3%,-2.5%,"$6 927,78",?
YUSRA YUSRA YUSRA,"$0,122946",-0.6%,-3.2%,1.2%,$36 674,?
PICK PICK PICK,"$0,000011843377",0.3%,0.9%,3.8%,"$199,76",?
Zodiac ZDC ZDC,"$0,002480100888",?,?,?,?,?
Blaze Network BLZN BLZN,"$0,800169",0.8%,-4.7%,3.1%,"$3,28",?
BOA BOA BOA,"$2 720,17",?,?,?,?,?
ONBUFF ONIT ONIT,"$0,120010",1.2%,-11.0%,-5.0%,$6 278 803,?
CEDARS CEDS CEDS,"$0,180015",,-0.2%,-7.3%,$48 114,?
unified Stable Dollar USD USD,"$0,473961",,,,"$411,04",?
Rocket Token RCKT RCKT,"$0,016039375164",?,?,?,?,?
DeFinition Network DZI DZI,"$0,144389",?,?,?,?,?
ReFork EFK EFK,"$0,019622040348",0.2%,-3.9%,-10.7%,"$2 611,73",?
Organix OGX OGX,"$0,072832318834",-0.9%,-8.4%,0.9%,$25 722,?
TriumphX TRIX TRIX,"$0,001838194457",0.5%,0.7%,2.7%,$230 108,?
Dipper Network DIP DIP,"$0,001026840835",0.0%,-0.7%,-0.6%,"$0,000000000000",?
Newtonium NEWTON NEWTON,"$0,055851438500",?,?,?,?,?
CVP Token CVP CVP,"$1,64",0.0%,-8.2%,-13.0%,$50 992,?
Vesta VESTA VESTA,"$0,000381383385",-2.3%,52.4%,-34.4%,"$7 159,18",?
YFISCURITY YFIS YFIS,"$0,697894",0.0%,0.0%,20.0%,"$0,000000000000",?
MiraQle MQL MQL,"$0,091445377293",0.6%,-5.7%,235.7%,$506 909,?
ATTN ATTN ATTN,"$0,001879577400",0.0%,0.0%,-20.1%,"$0,000000000000",?
TimeMiner TIME TIME,"$1,56",?,?,?,?,?
Mirror World Token MW MW,"$0,003602606977",0.0%,0.0%,5.2%,"$0,000000000000",?
Fee Active Collateral Token FACT FACT,"$0,047825507285",?,?,?,?,?
Bast BAST BAST,"$7,85",?,?,?,?,?
YFIVE FINANCE YFIVE YFIVE,"$3,95",0.0%,0.0%,-3.7%,"$0,000000000000",?
Epanus EPS EPS,"$0,391475",,-5.0%,8.5%,$202 247,?
Social Finance SOFI SOFI,"$11,56",,,,"$42,37",?
YUNo Finance YUNO YUNO,"$0,000014603846",?,?,?,?,?
Mini MINI MINI,"$0,065333718346",0.4%,-7.8%,-13.8%,$68 895,?
Walnut.finance WTF WTF,"$1,31",?,?,?,?,?
KIMCHI.finance KIMCHI KIMCHI,"$0,000190088530",0.6%,-10.1%,-9.2%,"$3 338,29",?
Pearl Finance PEARL PEARL,"$88,17",0.7%,-5.9%,-3.5%,$213 348,?
Rug RUG RUG,"$0,634958",?,?,?,?,?
AlphaLink ANK  ANK,"$0,002878844149",0.0%,0.0%,-7.0%,"$0,000000000000",?
tBridge Token TAI TAI,"$0,497763",0.5%,1.2%,20.3%,$641 090,?
Aladiex ALA ALA,"$0,035979149382",?,?,?,?,?
STABLE ASSET STA STA,"$1,15",0.8%,43.5%,-5.6%,"$8 914,67",?
ITEN ITEN ITEN,"$0,000089162415",0.0%,0.0%,-48.2%,"$0,000000000000",?
BLOCKMAX OCB OCB,"$0,171227",0.5%,-6.6%,-0.4%,$161 248,?
San Diego Coin SAND SAND,"$0,000851225622",?,?,?,?,?
Soft Yearn SYFI SYFI,"$0,000017691678",?,?,?,?,?
CryptoBRL CBRL CBRL,"$0,182972",?,?,?,?,?
TRONbetLive LIVE LIVE,"$0,030419136030",-3.1%,-6.2%,-7.9%,$24 986,?
Uniris UCO UCO,"$0,236760",-1.1%,-7.2%,-20.2%,$163 227,?
Upper Dollar USDU USDU,"$1,00",0.5%,-0.4%,0.0%,$3 997 636,?
TONToken TON TON,"$0,013103333185",0.6%,-2.6%,2.5%,$54 371,?
Omega Protocol Money OPM OPM,"$0,000008027340",0.5%,90.5%,92.1%,"$146,81",?
Prime DAI PDAI PDAI,"$0,000180851782",0.0%,0.0%,-23.7%,"$0,000000000000",?
Unipump UPP UPP,"$0,002776526799",?,?,?,?,?
SSS Finance SSS SSS,"$3,57",?,?,?,?,?
DeFi Bids BID BID,"$0,024454105783",?,?,?,?,?
YFI Business YFIB YFIB,"$4,12",?,?,?,?,?
BlackHoleSwap-Compound DAI/USDC BHSC BHSC,"$1,03",?,?,?,?,?
Salmon SLM SLM,"$3,71",990.9%,882.7%,833.8%,$54 395,?
Upper Euro EURU EURU,"$1,16",0.4%,0.1%,-0.1%,$5 216 997,?
Touch Social TST TST,"$0,000240883316",?,?,?,?,?
Upper Pound GBPU GBPU,"$1,38",0.4%,-0.3%,-0.0%,$5 032 178,?
JackPool.finance JFI JFI,"$54,14",0.3%,-9.4%,-12.5%,$277 851,?
Yefam.Finance FAM FAM,"$0,011733017725",?,?,?,?,?
CORN CORN CORN,"$12,10",0.7%,-8.3%,-10.6%,$21 186,?
FlashSwap FSP FSP,"$0,004394854750",?,?,?,?,?
Yearn Finance Protocol YFP YFP,"$0,000307469090",?,?,?,?,?
$AAPL $AAPL $AAPL,"$0,339084",?,?,?,?,?
Universal Liquidity Union ULU ULU,"$1,16",0.0%,-48.2%,-41.6%,"$0,000000000000",?
Enceladus Network ENCX ENCX,"$0,000672800478",?,?,?,?,?
Predix Network PRDX PRDX,"$0,074896000350",,-0.1%,18.8%,"$529,22",?
VALOBIT VBIT VBIT,"$0,047089800741",0.1%,-4.2%,-4.1%,$77 164,?
YFIKing Finance YFIKING YFIKING,"$0,601473",?,?,?,?,?
ShroudX SHROUD SHROUD,"$0,000927235502",?,?,?,?,?
YFFII Finance YFFII YFFII,"$0,280743",0.0%,0.0%,-18.5%,"$0,000000000000",?
i9 Coin I9C I9C,"$0,000589900591",,-6.5%,-7.9%,"$0,197027",?
OBIC OBIC OBIC,"$0,356024",?,?,?,?,?
DefiBox BOX BOX,"$5,26",2.1%,-5.6%,-7.4%,$2 455 130,?
DMD DMD DMD,"$25,95",-0.1%,-7.8%,-3.0%,$1 651 653,?
DefiKing DFK DFK,"$0,037100585402",?,?,?,?,?
QOOBER QOOB QOOB,"$0,006000000000",?,?,?,?,?
Popcorn Token CORN CORN,"$0,197510",?,?,?,?,?
Carrot Finance CRT CRT,"$0,146704",0.0%,0.0%,-4.8%,"$0,000000000000",?
YFIBALANCER.FINANCE YFIB YFIB,"$0,571814",,0.0%,-13.3%,"$0,000000000000",?
Yakuza DFO YKZ YKZ,"$0,032278252135",?,?,?,?,?
YFILEND.FINANCE  YFILD YFILD,"$2,85",,0.0%,1.9%,"$0,000000000000",?
Dragon Ball DRAGON DRAGON,"$0,030404475938",?,?,?,?,?
Etherpay ETHPY ETHPY,"$0,000762384759",?,?,?,?,?
DOOS TOKEN DOOS DOOS,"$0,004138112963",0.2%,-44.6%,-79.2%,"$3 465,88",?
Cannabis Seed Token CANA CANA,"$0,026270145901",?,?,?,?,?
YOKcoin YOK YOK,"$0,092638018751",0.4%,-0.2%,0.9%,"$9 944,72",?
FINANCIAL INVESTMENT TOKEN FIT FIT,"$0,000099987099",,-0.3%,-0.0%,"$0,167278",?
LOCK Token LOCK LOCK,"$0,002119169171",,0.0%,,"$0,000000000000",?
Solarite SOLARITE SOLARITE,"$0,326478",?,?,?,?,?
pTokens LTC PLTC PLTC,"$179,88",?,?,?,?,?
Creed Finance CREED CREED,"$0,000199917240",?,?,?,?,?
Vybe VYBE VYBE,"$0,063999557941",0.0%,0.0%,8.0%,"$0,000000000000",?
MoonSwap MOON MOON,"$0,265455",-0.9%,-10.8%,-20.8%,$132 984,?
Betherchip BEC BEC,"$0,088154013202",1.2%,58.6%,38.6%,$210 149,?
Lottonation LNT LNT,"$0,131315",?,?,?,?,?
Ymen.Finance YMEN YMEN,"$3,04",?,?,?,?,?
Yield Farming Known as Ash YFKA YFKA,"$15,76",?,?,?,?,?
Zyro ZYRO ZYRO,"$0,009287253548",-0.1%,-6.7%,-3.2%,$34 814,?
Momentum XMM XMM,"$0,001499634783",?,?,?,?,?
Pofid Dao PFID PFID,"$11,41",-2.1%,8.9%,-40.0%,"$1 366,36",?
Tribute TRBT TRBT,"$0,455628",?,?,?,?,?
bXIOT BXIOT BXIOT,"$0,839103",?,?,?,?,?
Zoom Protocol ZOM ZOM,"$7,90",0.0%,0.0%,0.0%,"$0,000000000000",?
Thisoption TONS TONS,"$0,109924",,204.0%,,"$82,21",?
Mobilian Coin MBN MBN,"$0,008470452061",0.0%,13.0%,-73.1%,"$0,000000000000",?
Katana Finance KATANA KATANA,"$0,000381202011",0.8%,-29.3%,-31.0%,"$489,90",?
YFARM Token YFARM YFARM,"$0,000000087698",?,?,?,?,?
Aave YFI v1 AYFI AYFI,$35 294,?,?,?,?,?
Aave REN v1 AREN AREN,"$1,07",-2.0%,-8.3%,7.7%,$1 722 548,?
Aave ENJ v1 AENJ AENJ,"$2,13",-0.4%,6.0%,-1.1%,$39 079,?
Va Na Su VNS VNS,"$0,008512058906",0.2%,-3.2%,-3.6%,$56 135,?
P2P P2P P2P,"$0,000914942113",0.0%,0.0%,-34.7%,"$0,000000000000",?
Oracolxor XOR XOR,"$0,001401337295",?,?,?,?,?
Hybrid Bank Cash HBC HBC,"$0,002068648616",,,-20.3%,"$57,40",?
UniFi Protocol UP UP,"$0,841645",0.0%,0.0%,-18.4%,"$0,000000000000",?
3X Long Sushi Token SUSHIBULL SUSHIBULL,"$0,000126800000",3.4%,-17.2%,-8.1%,$3 001 085,?
3X Short Sushi Token SUSHIBEAR SUSHIBEAR,"$0,000000010007",-0.0%,0.0%,0.1%,"$604,55",?
YFMoonshot YFMS YFMS,"$15,59",?,?,?,?,?
Printer.Finance PRINT PRINT,"$12,45",?,?,?,?,?
451PCBcom PCB PCB,"$10,02",?,?,?,?,?
Moon YFI MYFI MYFI,"$9,42",?,?,?,?,?
PayAccept PAYT PAYT,"$0,093461357246",,-19.0%,-23.0%,"$0,000000000000",?
Helgro HGRO HGRO,"$0,000000014132",?,?,?,?,?
Exchange Payment Coin EXP EXP,"$0,000528720146",?,?,?,?,?
Oracle System ORC ORC,"$0,000050296647",-1.1%,-18.0%,-18.1%,"$142,39",?
Diagon DGN DGN,"$0,018061444162",?,?,?,?,?
ETF Dao TFD TFD,"$0,022905799778",,-3.3%,,"$208,49",?
Markaccy MKCY MKCY,"$0,000080055210",0.0%,0.0%,-10.9%,"$0,000000000000",?
Cyclub CYCLUB CYCLUB,"$0,031761181681",0.5%,-3.0%,19.1%,$2 217 803,?
Hatch DAO HATCH HATCH,"$0,003026314226",0.5%,-23.9%,-73.6%,"$17,22",?
French ICO Coin FICO FICO,"$0,359268",,-4.4%,,"$228,17",?
Samurai SAM SAM,"$2,80",?,?,?,?,?
Crypto Accept ACPT ACPT,"$0,000190980992",0.0%,-0.5%,-0.4%,"$889,31",?
UNIFI DeFi UNIFI UNIFI,"$0,000217115950",0.0%,0.0%,4.4%,"$0,000000000000",?
YMAX YMAX YMAX,"$16,18",?,?,?,?,?
RI Token RI RI,"$0,015007724334",-0.9%,-62.0%,-24.9%,"$17,49",?
Bitcratic Revenue BCTR BCTR,"$1,74",?,?,?,?,?
Giftedhands GHD GHD,"$0,001177907990",-3.1%,-3.3%,-13.1%,$193 972,?
XSwap XSP XSP,"$0,000054277754",,0.0%,6.1%,"$0,000000000000",?
Finswap FNSP FNSP,"$0,146240",?,?,?,?,?
Kush Finance KSEED KSEED,"$0,198839",?,?,?,?,?
Soda Token SODA SODA,"$0,000007719384",?,?,?,?,?
yTSLA Finance YTSLA YTSLA,"$21,16",?,?,?,?,?
Shill POSH POSH,"$0,000145110028",?,?,?,?,?
Ducato Protocol Token DUCATO DUCATO,"$1,65",-0.1%,-6.6%,-8.8%,$126 215,?
YFIX.finance YFIX YFIX,"$2,22",0.0%,0.0%,-1.5%,"$0,000000000000",?
Digital Currency Daily DCD DCD,"$0,000115202943",0.4%,-10.2%,65.5%,"$117,05",?
WenBurn WENB WENB,"$0,000075528271",?,?,?,?,?
GokuMarket Credit GMC GMC,"$0,504789",1.0%,-2.8%,-3.2%,$255 116,?
Burger Swap BURGER BURGER,"$3,89",1.3%,-7.2%,-5.2%,$6 707 446,?
Basid Coin BASID BASID,"$0,009601021885",-9.2%,-4.9%,2.2%,$819 257,?
Istardust ISDT ISDT,"$0,000774618036",0.1%,-0.9%,-0.3%,$695 372,?
Chicken KFC KFC,"$6,49",2.3%,-4.5%,-11.7%,$45 390,?
Acuity ACU ACU,"$0,021994519131",,-19.3%,328.0%,"$1 148,00",?
DeFi Firefly DFF DFF,"$0,333151",?,?,?,?,?
Rare Pepe RPEPE RPEPE,"$0,031106737169",?,?,?,?,?
Contribute TRIB TRIB,"$1,68",?,?,?,?,?
MANY MANY MANY,"$0,022601365563",?,?,?,?,?
YFF.Finance YFF YFF,"$0,000000959156",?,?,?,?,?
CY Finance CYF CYF,"$0,000034254271",?,?,?,?,?
Grafsound GSMT GSMT,"$0,140436",0.3%,-0.0%,-6.5%,"$5 044,90",?
YFII Gold YFIIG YFIIG,"$1,54",-16.3%,18.3%,-12.2%,$59 708,?
Wrapped BNB WBNB WBNB,"$458,55",1.1%,-5.3%,-5.9%,$886 401 622,?
SwapShip SWSH SWSH,"$5,08",?,?,?,?,?
Bidao BID BID,"$0,019849576684",1.6%,-12.6%,24.2%,$292 769,?
NO Trump Augur Prediction Token NTRUMP NTRUMP,"$0,864806",?,?,?,?,?
Safari SFR SFR,"$0,001320175964",37.7%,-0.1%,-3.5%,"$1,61",?
Puriever PURE PURE,"$0,014222501094",-1.6%,-5.9%,1.4%,$115 512,?
BMJ Master Nodes BMJ BMJ,"$0,205590",?,?,?,?,?
Defi Shopping Stake DSS DSS,"$0,008858185019",-28.2%,-35.5%,-23.5%,$26 278,?
UNII Finance UNII UNII,"$0,000233115862",?,?,?,?,?
S.Finance SFG SFG,"$0,226792",0.6%,-10.6%,-4.1%,$145 187,?
Ultra Clear UCR UCR,"$0,020731908153",,11.4%,-26.3%,$31 697,?
SpokLottery SPKL SPKL,"$0,000041193493",?,?,?,?,?
Karaganda Token KRG KRG,"$0,002499925725",,,25.0%,"$7 874,77",?
Odinycoin ODC ODC,"$0,000065331499",?,?,?,?,?
Antique Zombie Shards ZOMB ZOMB,"$3 809,80",?,?,?,?,?
Flamingo Finance FLM FLM,"$0,495862",2.0%,-12.9%,0.5%,$22 846 676,?
Morpher MPH MPH,"$0,031022868079",-0.9%,0.1%,7.4%,$91 505,?
CryptoWater C2O C2O,"$0,005691807430",?,?,?,?,?
CellETF ECELL ECELL,"$0,024595823061",0.9%,-0.7%,1.2%,$161 792,?
Vectorium VECT VECT,"$591,63",0.8%,-5.3%,-8.0%,$1 749 457,?
Wrapped LEO WLEO WLEO,"$0,274853",,-7.1%,14.9%,"$3 090,60",?
Vampire Protocol VAMP VAMP,"$0,000537858372",?,?,?,?,?
Tamy Token TMT TMT,"$0,052866450429",-0.1%,-1.6%,-2.1%,$20 852,?
QChi Chain QHC QHC,"$0,005763226345",6.3%,1.8%,101.0%,"$18 462,27",?
TMC TMC TMC,"$0,002995956245",,-4.0%,-2.0%,"$3 354,21",?
YFE Money YFE YFE,"$7,03",0.0%,-0.1%,70.5%,"$0,000000000000",?
TomoChain ERC-20 TOMOE TOMOE,"$2,34",0.8%,-11.0%,-2.5%,$4 350 424,?
Timers IPM IPM,"$0,022678900646",0.0%,0.0%,-4.2%,"$0,000000000000",?
Yearn Finance Ecosystem YFIEC YFIEC,"$3,71",?,?,?,?,?
YFarmLand Token YFARMER YFARMER,"$0,174058",?,?,?,?,?
Kompass KOMP KOMP,"$0,000043445239",?,?,?,?,?
APEcoin APE APE,"$0,033479142011",,-5.7%,1.5%,"$155,72",?
extraDNA XDNA XDNA,"$0,000632215564",7.2%,24.2%,20.9%,$98 244,?
HLP Token HLP HLP,"$1,66",0.7%,-5.4%,-8.1%,$1 086 987,?
Pajama.Finance PJM PJM,"$0,081878467154",?,?,?,?,?
Steaks Finance STEAK STEAK,"$0,000373366907",?,?,?,?,?
Yearn Land YLAND YLAND,"$0,351204",?,?,?,?,?
Satopay Yield Token SPY SPY,"$0,297767",0.0%,0.0%,60.7%,"$0,000000000000",?
Street Cred CRED CRED,"$0,010151614457",?,?,?,?,?
Yearn4 Finance YF4 YF4,"$0,392821",?,?,?,?,?
ErcauX RAUX RAUX,"$0,015420690252",?,?,?,?,?
YFET YFET YFET,"$3,55",0.8%,-5.2%,-7.9%,"$13,13",?
Wrapped ANATHA WANATHA WANATHA,"$0,178173",0.5%,4.5%,19.1%,"$13 646,31",?
Moonbase MBBASED MBBASED,"$0,083223835859",,-4.7%,-12.6%,"$0,000000000000",?
Cyclops Treasure CYTR CYTR,"$102,32",0.0%,0.0%,-25.6%,"$0,000000000000",?
Onigiri ONIGIRI ONIGIRI,"$0,015728823010",?,?,?,?,?
TronX coin TRONX TRONX,"$0,005006147826",?,?,?,?,?
YeaFinance YEA YEA,"$2,75",0.0%,0.0%,0.3%,"$0,000000000000",?
YFOS.finance YFOS YFOS,"$0,526880",0.0%,0.0%,45.4%,"$0,000000000000",?
Yield Stake Finance YI12 YI12,"$4,70",1.2%,-46.0%,23.7%,"$223,87",?
YFPRO Finance YFPRO YFPRO,"$3,48",0.0%,0.0%,0.0%,"$0,000000000000",?
BitZyon ZYON ZYON,"$0,000614212598",?,?,?,?,?
Dark.Build v1 DARK DARK,"$5,58",?,?,?,?,?
OWL Token OWL OWL,"$0,163292",?,?,?,?,?
Vera Cruz Coin VCCO VCCO,"$0,330208",?,?,?,?,?
TrueGBP TGBP TGBP,"$1,45",?,?,?,?,?
Treep Token TREEP TREEP,"$0,000080152763",0.1%,-0.2%,-2.1%,"$0,000280534671",?
Web Coin Pay WEC WEC,"$0,237024",0.3%,3.5%,2.7%,$33 754,?
YFED.Finance YFED YFED,"$0,812420",?,?,?,?,?
Heavens Gate HATE HATE,"$124,82",?,?,?,?,?
EasyFi V2 EZ EZ,"$4,83",1.4%,-6.4%,-2.0%,$918 817,?
Yearn-finance Infrastructure Labs YLAB YLAB,"$1,70",0.0%,0.0%,7.0%,"$0,000000000000",?
Reflex RFX RFX,"$0,000832546940",0.4%,-3.5%,-28.1%,$37 236,?
Decore DCORE DCORE,"$7,28",?,?,?,?,?
USDL USDL USDL,"$0,688699",?,?,?,?,?
NovaDeFi NMT NMT,"$0,009765549711",?,?,?,?,?
Stabilize STBZ STBZ,"$5,35",-1.1%,-7.9%,-26.0%,"$12 040,50",?
Ivy Mining IVY IVY,"$0,003944307332",?,?,?,?,?
LimitSwap LIMIT LIMIT,"$40,86",,18.0%,56.5%,$2 968 716,?
Juggernaut JGN JGN,"$0,573619",1.0%,-9.5%,-18.0%,$1 137 725,?
Dandy Dego DANDY DANDY,"$200,03",,,-12.7%,"$0,000000000000",?
Talent Token TTX TTX,"$0,574826",0.3%,-5.7%,-9.5%,$86 620,?
Nobrainer Finance BRAIN BRAIN,"$19,11",?,?,?,?,?
Payship PSHP PSHP,"$35,27",?,?,?,?,?
SERGS Governance SSL SSL,"$40,73",?,?,?,?,?
Global Gaming GMNG GMNG,"$0,000272952542",33.1%,40.1%,35.7%,"$2 414,93",?
Generation of Yield YGY YGY,"$29,23",?,?,?,?,?
Smartway.Finance SMART SMART,"$10,74",0.0%,0.0%,-2.1%,"$0,000000000000",?
Richway.Finance RICH RICH,"$1,45",0.0%,0.0%,-13.4%,"$0,000000000000",?
BillionHappiness BHC BHC,"$121,63",1.0%,-10.7%,14.5%,$72 546,?
TKN Token TKNT TKNT,"$0,004338497185",?,?,?,?,?
Qcore.Finance QCORE QCORE,"$2,38",?,?,?,?,?
BonezYard BNZ BNZ,"$0,076840002351",?,?,?,?,?
Read This Contract RTC RTC,"$6,69",?,?,?,?,?
Happy Birthday Coin HBDC HBDC,"$0,002810138471",0.4%,-3.6%,-3.1%,"$1 194,90",?
Koel Coin KOEL KOEL,"$0,001187633987",-1.0%,-3.3%,173.2%,"$1 406,76",?
United UTED UTED,"$0,005293122846",,0.0%,0.0%,"$0,000000000000",?
Yearn Finance Network YFN YFN,"$0,163083",0.0%,0.0%,-30.2%,"$0,000000000000",?
Bit Financial BFC BFC,"$0,000421897806",-0.3%,-8.6%,-33.6%,$195 528,?
Yearn Finance Diamond Token YFDT YFDT,"$1,75",0.5%,-27.1%,-53.1%,"$44,18",?
Arbiswap ASWAP ASWAP,"$0,003934367574",?,?,?,?,?
Mars Network MARS MARS,"$0,003549826035",0.8%,-5.3%,-7.9%,"$1 645,92",?
JNTR/e JNTR/E JNTR/E,"$0,044751595199",?,?,?,?,?
Rush RUC RUC,"$0,184755",?,?,?,?,?
DigiDinar StableToken DDRST DDRST,"$0,000091324222",-11.4%,-53.2%,-28.6%,"$575,80",?
Yearn Finance Management YEFIM YEFIM,"$3,51",0.0%,0.0%,-65.6%,"$0,000000000000",?
DXY Finance DXY DXY,"$5,46",?,?,?,?,?
cCOMP CCOMP CCOMP,"$6,39",0.9%,-12.1%,2.3%,$2 664 166,?
YFI Paprika YFIP YFIP,"$2,27",?,?,?,?,?
YFIA YFIA YFIA,"$0,000084736920",,1.7%,,"$11,02",?
Opalcoin AUOP AUOP,"$0,000597122440",1.1%,-4.0%,-15.5%,"$63,54",?
Sharkcoin SKN SKN,"$0,000400858506",0.0%,0.0%,9.0%,"$0,000000000000",?
dXIOT DXIOT DXIOT,"$0,145036",?,?,?,?,?
LCG LCG LCG,"$0,012043710467",0.0%,0.0%,2.0%,"$0,000000000000",?
yRise Finance YRISE YRISE,"$3,11",0.0%,0.0%,27.6%,"$0,000000000000",?
BitcoinBam BTCBAM BTCBAM,"$0,681526",,-3.0%,-27.5%,"$11 363,28",?
Galaxy Network GNC GNC,"$0,010638778214",0.1%,29.8%,-10.5%,"$81,90",?
AISF AGT AGT,"$0,001834369417",?,?,?,?,?
DLIKE DLIKE DLIKE,"$0,002009864540",?,?,?,?,?
Payou Finance PAYOU PAYOU,"$0,950039",?,?,?,?,?
Speed Coin SPEED SPEED,"$0,000762589818",?,?,?,?,?
Super Saiya-jin SSJ SSJ,"$0,257236",?,?,?,?,?
Apiary Fund Coin AFC AFC,"$0,000030502920",?,?,?,?,?
DeFi Gold DFGL DFGL,"$0,404047",0.0%,15.0%,,"$0,000000000000",?
FIL12 FIL12 FIL12,"$70,99",?,?,?,?,?
JustBet WINR WINR,"$0,000819412924",-10.0%,-21.9%,-16.9%,"$4 553,81",?
Clover CLV CLV,"$6,51",?,?,?,?,?
Junca cash JCC JCC,"$0,294273",2.9%,23.6%,-1.6%,"$18 689,25",?
Moonday Finance MOONDAY MOONDAY,"$87,44",?,?,?,?,?
Digex DIGEX DIGEX,"$0,001254875709",?,?,?,?,?
Aicon AICO AICO,"$0,006793222064",?,?,?,?,?
CashBackPro CBP CBP,"$4,75",0.7%,1.6%,42.8%,$221 568,?
BooBank BOOB BOOB,"$0,000000000173",-26.1%,-21.1%,21.9%,"$603,84",?
Honey HNY HNY,"$242,04",-1.2%,-4.3%,-2.8%,$136 520,?
FME FME FME,"$0,000738127910",-0.7%,-28.6%,-4.4%,"$328,18",?
MACH Project MACH MACH,"$0,006261900325",?,?,?,?,?
SYBC Coin SYBC SYBC,"$0,000058980497",?,?,?,?,?
ShareAt XAT XAT,"$0,072925054187",?,?,?,?,?
Innovation Blockchain Payment IBP IBP,"$0,019949293546",0.4%,-12.4%,-6.2%,$417 391,?
EduMetrix Coin EMC EMC,"$4,58",?,?,?,?,?
Elxis LEX LEX,"$9,09",?,?,?,?,?
DogDeFiCoin DOGDEFI DOGDEFI,"$0,742779",0.0%,0.0%,22.3%,"$0,000000000000",?
TheBigCoin BIG BIG,"$0,000000009530",,29.8%,70.4%,"$0,193205",?
TilWiki TLW TLW,"$0,604441",0.1%,0.4%,,"$324,56",?
Swerve.fi USD SWUSD SWUSD,"$1,02",0.0%,0.0%,0.0%,"$0,000000000000",?
Neeva Defi NVA NVA,"$0,450263",-0.5%,20.3%,-7.5%,"$6 344,59",?
PUML Better Health PUML PUML,"$0,041303657245",0.4%,-0.5%,35.7%,"$6 724,71",?
TRONbetDice DICE DICE,"$0,024441271127",-6.6%,-17.0%,-27.6%,"$9 699,53",?
Dark Energy Crystals DEC DEC,"$0,009353842044",0.9%,-11.1%,-30.2%,$56 048,?
BALL Coin BALL BALL,"$0,003968133241",0.8%,-0.4%,-3.9%,"$4,12",?
Simple Masternode Coin SMNC SMNC,"$0,001879233210",,2.0%,46.1%,"$12,81",?
Bitcoin Trust BCT BCT,"$0,551759",0.0%,0.0%,106.6%,"$0,000000000000",?
JSB Foundation JSB JSB,"$0,067127150628",0.3%,-4.1%,55.8%,"$2 636,49",?
YFI Credits Group YFICG YFICG,"$0,030773244893",?,?,?,?,?
OLCF OLCF OLCF,"$0,004144928330",?,?,?,?,?
Millimeter MM MM,"$0,252631",0.4%,-10.3%,-12.0%,$1 485 530,?
Wizard WIZ WIZ,"$0,000030086824",?,?,?,?,?
ChessCoin 0.32% CHESS CHESS,"$0,029947943185",3.8%,-20.0%,77.8%,"$205,50",?
Passport Finance PASS PASS,"$0,007099367062",0.0%,0.0%,0.8%,"$0,000000000000",?
Yearn Finance Red Moon YFRM YFRM,"$5,39",?,?,?,?,?
DeflaCash DFC DFC,"$0,000421430330",?,?,?,?,?
7up 7UP 7UP,"$0,233857",6.7%,-5.3%,-16.4%,$26 173,?
Aelysir AEL AEL,"$14,70",0.2%,-5.3%,-8.1%,"$6 274,88",?
Stark Chain STARK STARK,"$27,22",?,?,?,?,?
YYFI.Protocol YYFI YYFI,"$0,148416",? ,?,?,?,?
Morality MO MO,"$0,151648",1.1%,-5.9%,-11.5%,"$7 102,45",?
SocketFinance SFI SFI,"$0,825109",?,?,?,?,?
HubDao HD HD,"$5,47",?,?,?,?,?
LP 3pool Curve 3CRV 3CRV,"$1,02",0.0%,0.0%,0.0%,"$0,000000000000",?
Hiz Finance HIZ HIZ,"$0,067027353448",,-5.9%,-20.1%,"$0,006702735345",?
BitcoinStaking BSK BSK,"$3,55",0.8%,-5.2%,-8.0%,"$13,34",?
XCredit XFYI XFYI,"$1,16",?,?,?,?,?
Fundamenta FMTA FMTA,"$0,321431",,0.2%,-9.7%,"$504,22",?
Kper Network KPER KPER,"$0,000005333494",?,?,?,?,?
StakedFIRO STFIRO STFIRO,"$5,57",?,?,?,?,?
Easticoin ESTI ESTI,"$0,001745922772",-1.2%,-4.6%,-51.1%,"$0,055252450597",?
Pteria PTERIA PTERIA,"$0,023417776543",0.0%,0.0%,336.7%,"$0,000000000000",?
Libartysharetoken LST LST,"$0,129705",0.8%,-9.4%,-1.6%,"$870,12",?
SMPL Foundation SMPL SMPL,"$28,90",?,?,?,?,?
Blurt BLURT BLURT,"$0,012930646504",0.2%,2.6%,91.2%,"$2 868,24",?
nYFI N0031 N0031,"$0,036301057264",?,?,?,?,?
WEMIX Token WEMIX WEMIX,"$4,29",0.3%,3.9%,117.9%,$186 628 055, ?
